date,source,list_id,list_name,total,compliant,at_risk,neglected
2026-09-02,battr,0,⭐️ Team Leads (combined),866,842,17,7
2026-09-08,battr,0,⭐️ Team Leads (combined),903,835,23,45
2026-09-10,battr,0,⭐️ Team Leads (combined),862,838,20,4
2026-09-11,battr,0,⭐️ Team Leads (combined),861,834,24,3
2026-09-12,battr,0,⭐️ Team Leads (combined),856,,19,
2026-09-13,battr,0,⭐️ Team Leads (combined),858,,21,
2026-09-15,battr,0,⭐️ Team Leads (combined),880,838,23,19
2026-09-03,battr,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4198,208,121,3869
2026-09-03,battr,1146,💛 Sphere & Past Clients,3332,356,2,2974
2026-09-03,battr,1147,‼️ YLOPO IMPORTANT,116,64,8,44
2026-09-03,battr,1148,🏹 Zillow Important,44,16,2,26
2026-09-03,battr,1149,📖 Current & Upcoming Clients,451,176,4,271
2026-09-03,battr,1105,❗Active Leads,131,67,18,46
2026-09-03,battr,1150,🎤 AI TEXT REPLIES,10,8,0,2
2026-09-16,ours,0,⭐️ Team Leads (combined),898,598,300,0
2026-09-16,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4215,107,92,4016
2026-09-16,ours,1146,💛 Sphere & Past Clients,3338,85,0,3253
2026-09-16,ours,1147,‼️ YLOPO IMPORTANT,117,46,9,62
2026-09-16,ours,1148,🏹 Zillow Important,150,19,11,120
2026-09-16,ours,1149,📖 Current & Upcoming Clients,474,108,16,350
2026-09-16,ours,1150,🎤 AI TEXT REPLIES,11,8,1,2
2026-09-16,ours,1105,❗Active Leads,4963,337,19,4607
2026-09-16,ours,0,⭐️ Team Leads (combined),816,527,289,0
2026-09-16,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4061,102,87,3872
2026-09-16,ours,1146,💛 Sphere & Past Clients,3334,84,0,3250
2026-09-16,ours,1147,‼️ YLOPO IMPORTANT,117,47,10,60
2026-09-16,ours,1148,🏹 Zillow Important,140,18,5,117
2026-09-16,ours,1149,📖 Current & Upcoming Clients,461,107,12,342
2026-09-16,ours,1150,🎤 AI TEXT REPLIES,13,8,2,3
2026-09-16,ours,1105,❗Active Leads,8083,374,28,7681
2026-09-17,ours,0,⭐️ Team Leads (combined),828,531,279,18
2026-09-17,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4061,112,82,3867
2026-09-17,ours,1146,💛 Sphere & Past Clients,3334,81,0,3253
2026-09-17,ours,1147,‼️ YLOPO IMPORTANT,112,44,9,59
2026-09-17,ours,1148,🏹 Zillow Important,140,16,7,117
2026-09-17,ours,1149,📖 Current & Upcoming Clients,467,126,7,334
2026-09-17,ours,1150,🎤 AI TEXT REPLIES,11,6,2,3
2026-09-17,ours,1105,❗Active Leads,0,0,0,0
2026-09-18,ours,0,⭐️ Team Leads (combined),809,526,276,7
2026-09-18,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4063,118,78,3867
2026-09-18,ours,1146,💛 Sphere & Past Clients,3335,80,0,3255
2026-09-18,ours,1147,‼️ YLOPO IMPORTANT,110,44,8,58
2026-09-18,ours,1148,🏹 Zillow Important,139,17,3,119
2026-09-18,ours,1149,📖 Current & Upcoming Clients,473,136,4,333
2026-09-18,ours,1150,🎤 AI TEXT REPLIES,12,6,2,4
2026-09-18,ours,1105,❗Active Leads,0,0,0,0
2026-09-17,battr,0,⭐️ Team Leads (combined),796,757,32,7
2026-09-18,battr,0,⭐️ Team Leads (combined),790,756,17,17
2026-09-20,battr,0,⭐️ Team Leads (combined),777,,19,
2026-09-20,ours,0,⭐️ Team Leads (combined),811,523,276,12
2026-09-20,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4068,126,76,3866
2026-09-20,ours,1146,💛 Sphere & Past Clients,3335,77,0,3258
2026-09-20,ours,1147,‼️ YLOPO IMPORTANT,116,52,8,56
2026-09-20,ours,1148,🏹 Zillow Important,141,17,3,121
2026-09-20,ours,1149,📖 Current & Upcoming Clients,473,137,6,330
2026-09-20,ours,1150,🎤 AI TEXT REPLIES,12,7,1,4
2026-09-20,ours,1105,❗Active Leads,0,0,0,0
2026-09-21,ours,0,⭐️ Team Leads (combined),813,510,291,12
2026-09-21,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4071,127,72,3872
2026-09-21,ours,1146,💛 Sphere & Past Clients,3335,77,0,3258
2026-09-21,ours,1147,‼️ YLOPO IMPORTANT,116,49,9,58
2026-09-21,ours,1148,🏹 Zillow Important,141,15,2,124
2026-09-21,ours,1149,📖 Current & Upcoming Clients,476,138,11,327
2026-09-21,ours,1150,🎤 AI TEXT REPLIES,10,5,1,4
2026-09-21,ours,1105,❗Active Leads,0,0,0,0
2026-09-22,ours,0,⭐️ Team Leads (combined),813,515,281,17
2026-09-22,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4073,133,71,3869
2026-09-22,ours,1146,💛 Sphere & Past Clients,3336,79,0,3257
2026-09-22,ours,1147,‼️ YLOPO IMPORTANT,116,43,15,58
2026-09-22,ours,1148,🏹 Zillow Important,142,18,3,121
2026-09-22,ours,1149,📖 Current & Upcoming Clients,475,141,9,325
2026-09-22,ours,1150,🎤 AI TEXT REPLIES,8,5,1,2
2026-09-22,ours,1105,❗Active Leads,0,0,0,0
2026-09-22,battr,0,⭐️ Team Leads (combined),780,749,15,16
2026-09-23,ours,0,⭐️ Team Leads (combined),802,530,270,2
2026-09-23,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4072,146,66,3860
2026-09-23,ours,1146,💛 Sphere & Past Clients,3337,81,0,3256
2026-09-23,ours,1147,‼️ YLOPO IMPORTANT,120,48,15,57
2026-09-23,ours,1148,🏹 Zillow Important,140,19,5,116
2026-09-23,ours,1149,📖 Current & Upcoming Clients,479,156,13,310
2026-09-23,ours,1150,🎤 AI TEXT REPLIES,9,5,1,3
2026-09-23,ours,1105,❗Active Leads,0,0,0,0
2026-09-24,ours,0,⭐️ Team Leads (combined),799,586,210,3
2026-09-24,ours,1145,🗓️ CLEAN UP: Nurtures No Timeframe,4074,155,77,3842
2026-09-24,ours,1146,💛 Sphere & Past Clients,3337,93,0,3244
2026-09-24,ours,1147,‼️ YLOPO IMPORTANT,110,43,15,52
2026-09-24,ours,1148,🏹 Zillow Important,143,24,3,116
2026-09-24,ours,1149,📖 Current & Upcoming Clients,482,157,15,310
2026-09-24,ours,1150,🎤 AI TEXT REPLIES,8,6,0,2
2026-09-24,ours,1105,❗Active Leads,0,0,0,0
